fold,strategy,model,position_strategy,trading_method,confidence_threshold,total_return_pct,alpha_pct,final_capital,num_trades,win_rate,max_drawdown
1,Futures Swing Trading,LightGBM,fixed_10,futures_swing,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,LightGBM,fixed_10,spot_day,0.2,5.627193772072414,-50.01965619776887,1056271.9377207241,0,0.0,0.021164748043766446
1,Spot Swing Trading,LightGBM,fixed_10,spot_swing,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,LightGBM,fixed_10,futures_day,0.2,-14.32316240796382,-69.9700123778051,856768.3759203618,75,0.37333333333333335,0.15114914801060272
1,Futures Swing Trading,LightGBM,fixed_10,futures_swing,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,LightGBM,fixed_10,spot_day,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Swing Trading,LightGBM,fixed_10,spot_swing,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,LightGBM,fixed_10,futures_day,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Swing Trading,LightGBM,fixed_10,futures_swing,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,LightGBM,fixed_30,spot_day,0.0,-11.572215998560365,-67.21906596840165,884277.8400143964,16,0.125,0.1423204375211366
1,Spot Swing Trading,LightGBM,fixed_30,spot_swing,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,LightGBM,fixed_30,futures_day,0.0,-69.21714726471262,-124.8639972345539,307828.5273528738,150,0.38666666666666666,0.6921714726471262
1,Futures Swing Trading,LightGBM,fixed_30,futures_swing,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,LightGBM,fixed_30,spot_day,0.2,16.881581316217243,-38.76526865362404,1168815.8131621724,0,0.0,0.058424498881695895
1,Spot Swing Trading,LightGBM,fixed_30,spot_swing,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,LightGBM,fixed_30,futures_day,0.2,-38.12335401356255,-93.77020398340383,618766.4598643745,75,0.37333333333333335,0.3961066664902321
1,Futures Swing Trading,LightGBM,fixed_30,futures_swing,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,LightGBM,fixed_30,spot_day,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Swing Trading,LightGBM,fixed_30,spot_swing,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,LightGBM,fixed_30,futures_day,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Swing Trading,LightGBM,fixed_30,futures_swing,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,LightGBM,fixed_50,spot_day,0.0,-18.793854799192843,-74.44070476903413,812061.4520080716,16,0.125,0.22701045937784692
1,Spot Swing Trading,LightGBM,fixed_50,spot_swing,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,LightGBM,fixed_50,futures_day,0.0,-86.74801196070126,-142.39486193054256,132519.88039298737,150,0.38666666666666666,0.8674801196070127
1,Futures Swing Trading,LightGBM,fixed_50,futures_swing,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,LightGBM,fixed_50,spot_day,0.2,28.13596886036209,-27.510881109479193,1281359.688603621,0,0.0,0.09180474772576737
1,Spot Swing Trading,LightGBM,fixed_50,spot_swing,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,LightGBM,fixed_50,futures_day,0.2,-56.30382347256151,-111.9506734424028,436961.76527438493,75,0.37333333333333335,0.5778557800351091
1,Futures Swing Trading,LightGBM,fixed_50,futures_swing,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,LightGBM,fixed_50,spot_day,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Swing Trading,LightGBM,fixed_50,spot_swing,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,LightGBM,fixed_50,futures_day,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Swing Trading,LightGBM,fixed_50,futures_swing,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,XGBoost,fixed_10,spot_day,0.0,-3.921222004037861,-59.56807197387914,960787.7799596214,16,0.125,0.049588383635101776
1,Spot Swing Trading,XGBoost,fixed_10,spot_swing,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,XGBoost,fixed_10,futures_day,0.0,-31.573275099111598,-87.22012506895288,684267.2490088841,150,0.3933333333333333,0.31655460204600194
1,Futures Swing Trading,XGBoost,fixed_10,futures_swing,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,XGBoost,fixed_10,spot_day,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Swing Trading,XGBoost,fixed_10,spot_swing,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,XGBoost,fixed_10,futures_day,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Swing Trading,XGBoost,fixed_10,futures_swing,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,XGBoost,fixed_10,spot_day,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Swing Trading,XGBoost,fixed_10,spot_swing,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,XGBoost,fixed_10,futures_day,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Swing Trading,XGBoost,fixed_10,futures_swing,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,XGBoost,fixed_30,spot_day,0.0,-11.479270198115799,-67.12612016795708,885207.298018842,16,0.125,0.14232043752113688
1,Spot Swing Trading,XGBoost,fixed_30,spot_swing,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,XGBoost,fixed_30,futures_day,0.0,-69.01033554750414,-124.65718551734543,309896.64452495857,150,0.3933333333333333,0.6901033554750414
1,Futures Swing Trading,XGBoost,fixed_30,futures_swing,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,XGBoost,fixed_30,spot_day,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Swing Trading,XGBoost,fixed_30,spot_swing,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,XGBoost,fixed_30,futures_day,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Swing Trading,XGBoost,fixed_30,futures_swing,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,XGBoost,fixed_30,spot_day,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Swing Trading,XGBoost,fixed_30,spot_swing,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,XGBoost,fixed_30,futures_day,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Swing Trading,XGBoost,fixed_30,futures_swing,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,XGBoost,fixed_50,spot_day,0.0,-18.650157053711514,-74.2970070235528,813498.4294628849,16,0.125,0.227010459377847
1,Spot Swing Trading,XGBoost,fixed_50,spot_swing,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,XGBoost,fixed_50,futures_day,0.0,-86.59917495511004,-142.2460249249513,134008.25044889958,150,0.3933333333333333,0.8659917495511005
1,Futures Swing Trading,XGBoost,fixed_50,futures_swing,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,XGBoost,fixed_50,spot_day,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Swing Trading,XGBoost,fixed_50,spot_swing,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,XGBoost,fixed_50,futures_day,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Swing Trading,XGBoost,fixed_50,futures_swing,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,XGBoost,fixed_50,spot_day,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Swing Trading,XGBoost,fixed_50,spot_swing,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,XGBoost,fixed_50,futures_day,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Swing Trading,XGBoost,fixed_50,futures_swing,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,SVM,fixed_10,spot_day,0.0,1.7336486803379625,-53.91320128950332,1017336.4868033796,10,0.2,0.031650537448539975
1,Spot Swing Trading,SVM,fixed_10,spot_swing,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,SVM,fixed_10,futures_day,0.0,-6.993717515801379,-62.64056748564266,930062.8248419862,150,0.4266666666666667,0.15122915032374667
1,Futures Swing Trading,SVM,fixed_10,futures_swing,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,SVM,fixed_10,spot_day,0.2,6.674354575062202,-48.97249539477908,1066743.545750622,1,1.0,0.02073259432644079
1,Spot Swing Trading,SVM,fixed_10,spot_swing,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Futures Day Trading,SVM,fixed_10,futures_day,0.2,-6.8811532578299754,-62.52800322767126,931188.4674217002,56,0.3392857142857143,0.08714701267397798
1,Futures Swing Trading,SVM,fixed_10,futures_swing,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
1,Spot Day Trading,SVM,fixed_10,spot_day,0.3,7.66239216477107,-47.984457805070214,1076623.9216477107,1,1.0,0.022043035274804175
1,Spot Swing Trading,SVM,fixed_10,spot_swing,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0
