fold,strategy,model,position_strategy,trading_method,entry_date,entry_price,exit_date,exit_price,total_return_pct,annual_return_pct,alpha_pct,final_capital,buy_hold_return_pct,num_trades,win_rate,profit_factor,avg_win,avg_loss,avg_trade,expectancy,max_drawdown,max_dd_duration,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,trading_frequency,days
1,Buy & Hold,N/A,N/A,buy_hold,2022-12-07,1271.5531005859375,2023-05-05,1995.0609130859373,55.646849969841284,110.27893268891846,0.0,1556468.4996984128,55.646849969841284,2,0.5,556468.4996984128,556468.4996984128,0.0,278234.2498492064,278234.2498492064,0.16063961847721403,26,2.0690579207295676,3.198549361007519,6.864989703929172,1.4257871101157578,3.464080063022219,1,1,0.013333333333333334,150
1,Spot Day Trading,RandomForest,fixed_01,spot_day_trading,,,,,-0.30790902994953795,-0.5167454491430412,-55.95475899979082,996920.9097005046,55.646849969841284,38,0.21052631578947367,0.5029039180826816,778.7662345747754,412.94368251961777,-162.05738418395603,-162.0573841839561,0.004980793710379014,111,-1.3075508311324553,-1.4594070544759241,-1.037476111621012,0.7555286184208752,-0.6181926974970171,1,10,0.25333333333333335,150
1,Spot Swing Trading,RandomForest,fixed_01,spot_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0,0,0.0,150
1,Futures Day Trading,RandomForest,fixed_01,futures_day_trading,,,,,-2.8459905130343577,-4.734857007241711,-58.49284048287564,971540.0948696564,55.646849969841284,150,0.41333333333333333,0.5213715400990785,500.0236668169122,675.6974144658132,-189.73270086895323,-189.73270086895332,0.03139723127238319,111,-3.836569184540126,-5.3847273711063615,-1.5080492181507934,0.5294043279916075,-0.9064463322718773,7,7,1.0,150
1,Futures Swing Trading,RandomForest,fixed_01,futures_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0,0,0.0,150
1,Spot Day Trading,RandomForest,fixed_05,spot_day_trading,,,,,-1.5400030320401936,-2.573636094736176,-57.18685300188148,984599.9696795981,55.646849969841284,38,0.21052631578947367,0.501770435074932,3877.36921794151,2060.6338128112216,-810.5279116001203,-810.5279116001203,0.024688624916297235,111,-1.309917640019705,-1.4616252991478078,-1.0424380067588495,0.7552354513311044,-0.623770273663,1,10,0.25333333333333335,150
1,Spot Swing Trading,RandomForest,fixed_05,spot_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0,0,0.0,150
1,Futures Day Trading,RandomForest,fixed_05,futures_day_trading,,,,,-13.524801791716401,-21.661034700337957,-69.17165176155768,864751.982082836,55.646849969841284,150,0.41333333333333333,0.5237859899362901,2399.335222108636,3227.3500191806625,-901.6534527810855,-901.6534527810857,0.14808215108704406,111,-3.8365691845399748,-5.384727371106191,-1.4627714779484395,0.5294043279916213,-0.913330991779448,7,7,1.0,150
1,Futures Swing Trading,RandomForest,fixed_05,futures_swing_trading,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0,0,0.0,150
1,Spot Day Trading,RandomForest,fixed_10,spot_day_trading,,,,,-3.080485651972087,-5.120832547851739,-58.727335621813374,969195.1434802791,55.646849969841284,38,0.21052631578947367,0.500398656966652,7713.5044998716185,4110.5916346137965,-1621.308237880025,-1621.3082378800252,0.048845020027277974,111,-1.312719903741486,-1.464267146559909,-1.0483837543708572,0.7548916010056079,-0.6306652449424239,1,10,0.25333333333333335,150
