fold,strategy,model,position_strategy,trading_method,confidence_threshold,entry_date,entry_price,exit_date,exit_price,total_return_pct,annual_return_pct,alpha_pct,final_capital,buy_hold_return_pct,num_trades,win_rate,profit_factor,avg_win,avg_loss,avg_trade,expectancy,max_drawdown,max_dd_duration,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,trading_frequency,days
1,Buy & Hold,N/A,N/A,buy_hold,0.0,2022-12-07,1271.5531005859375,2023-05-05,1995.0609130859373,55.646849969841284,110.27893268891846,0.0,1556468.4996984128,55.646849969841284,2,0.5,556468.4996984128,556468.4996984128,0.0,278234.2498492064,278234.2498492064,0.16063961847721403,26,2.0690579207295676,3.198549361007519,6.864989703929172,1.4257871101157578,3.464080063022219,1,1,0.013333333333333334,150
1,Spot Day Trading,RandomForest,fixed_01,spot_day_trading,0.0,,,,,-0.30790902994953795,-0.5167454491430412,-55.95475899979082,996920.9097005046,55.646849969841284,38,0.21052631578947367,0.5029039180826816,778.7662345747754,412.94368251961777,-162.05738418395603,-162.0573841839561,0.004980793710379014,111,-1.3075508311324553,-1.4594070544759241,-1.037476111621012,0.7555286184208752,-0.6181926974970171,1,10,0.25333333333333335,150
1,Spot Day Trading,RandomForest,fixed_01,spot_day_trading,0.1,,,,,0.5556906543712214,0.9353230762691345,-55.091159315470065,1005556.9065437122,55.646849969841284,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0022403779376370097,26,1.7838623334082073,2.6276907559252933,4.174845058756677,1.3618584273995429,2.480343360983672,0,0,0.006666666666666667,150
1,Spot Day Trading,RandomForest,fixed_01,spot_day_trading,0.2,,,,,0.5619461986920538,0.9458722901392713,-55.08490377114923,1005619.4619869204,55.646849969841284,1,0.0,0.0,0.0,0.0,0.0,0.0,0.002249237528530944,32,1.7055279573038185,2.4299191769603294,4.205301921834168,1.3543646837192855,2.498385304192712,0,0,0.006666666666666667,150
1,Spot Day Trading,RandomForest,fixed_01,spot_day_trading,0.3,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0,0,0.0,150
1,Spot Day Trading,RandomForest,fixed_01,spot_day_trading,0.4,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0,0,0.0,150
1,Spot Day Trading,RandomForest,fixed_01,spot_day_trading,0.5,,,,,0.0,0.0,-55.646849969841284,1000000.0,55.646849969841284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0,0,0.0,150
1,Spot Day Trading,RandomForest,fixed_05,spot_day_trading,0.0,,,,,-1.5400030320401936,-2.573636094736176,-57.18685300188148,984599.9696795981,55.646849969841284,38,0.21052631578947367,0.501770435074932,3877.36921794151,2060.6338128112216,-810.5279116001203,-810.5279116001203,0.024688624916297235,111,-1.309917640019705,-1.4616252991478078,-1.0424380067588495,0.7552354513311044,-0.623770273663,1,10,0.25333333333333335,150
1,Spot Day Trading,RandomForest,fixed_05,spot_day_trading,0.1,,,,,2.7784532718561294,4.711767506959741,-52.868396697985155,1027784.5327185614,55.646849969841284,1,0.0,0.0,0.0,0.0,0.0,0.0,0.010915708687127008,26,1.799274873492564,2.659553702750033,4.3165016967852665,1.3650923169573217,2.545371401430665,0,0,0.006666666666666667,150
1,Spot Day Trading,RandomForest,fixed_05,spot_day_trading,0.2,,,,,2.809730993460202,4.765308045678962,-52.837118976381085,1028097.309934602,55.646849969841284,1,0.0,0.0,0.0,0.0,0.0,0.0,0.010956062250834675,32,1.7200455892309476,2.458170901897817,4.349471494939637,1.3575502072136136,2.5645445682331207,0,0,0.006666666666666667,150
