fold,date_start,date_end,num_days,accuracy,initial_capital,final_capital,total_return,total_return_pct,annual_return_pct,num_trades,num_wins,num_losses,win_rate,avg_profit_per_trade,avg_win,avg_loss,expectancy,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,years,sufficient_trades,t_statistic,p_value,is_significant,is_very_significant,confidence_95_lower,confidence_95_upper,stat_warning
1,2022-10-10,2022-12-08,60,55.00000000000001,10000.0,10256.816694263625,256.8166942636253,2.5681669426362532,11.2379290819558,55,28,27,50.90909090909091,4.669394441156784,36.240259551699786,28.070761969776704,4.669394441156779,1.3388482801931896,-401.26846237641985,3.768860216747921,1.460043147550933,3.0974628085130895,2.981784527857284,0.6400121573040845,6,5,0.23809523809523808,True,0.6820979820664933,0.4980924395237385,False,False,-0.0009194154457708103,0.001867616659892598,
2,2023-06-07,2023-08-05,60,68.33333333333333,10000.0,10120.697912889915,120.69791288991473,1.2069791288991474,5.168078850363278,51,31,20,60.78431372549019,2.36662574293956,13.282290164446417,14.552654110396073,2.366625742939556,1.4146938145245056,-133.25689844021326,1.3093136078049856,1.597526529923078,1.4358163504690977,3.947166530276398,0.9057535805102561,6,3,0.23809523809523808,True,0.7186755943660169,0.4756860817790102,False,False,-0.00042720878009104443,0.0009032587795351802,
3,2024-02-02,2024-04-01,60,66.66666666666666,10000.0,11132.587376694186,1132.5873766941859,11.325873766941859,56.92916806348944,57,33,24,57.89473684210527,19.869953977091033,53.90314312413455,26.9256811000938,19.869953977091036,2.7526442699875404,-175.29417302039838,1.5769060636759022,5.70598497810721,10.654083511758117,36.10181314845268,6.461066886475403,7,3,0.23809523809523808,True,2.713737158810876,0.00882482383574197,True,False,0.000496849674763214,0.0032985794052705734,
4,2024-09-29,2024-11-27,60,55.00000000000001,10000.0,10517.428634006506,517.4286340065064,5.174286340065064,23.600494972054143,44,26,18,59.09090909090909,11.759741681965947,36.279816691324704,23.658144442663374,11.759741681965945,2.2150587419165855,-75.22640930025227,0.7267000273932489,4.6245397942639155,11.9851153663263,32.476254413683805,6.878284352790067,6,4,0.23809523809523808,True,1.9323891429877884,0.05991619237146217,False,False,-5.038283113561375e-05,0.00236012675316465,
5,2025-01-01,2025-10-05,278,62.589928057553955,10000.0,13987.361433579901,3987.361433579901,39.87361433579901,35.55196903772706,236,135,101,57.20338983050848,16.895599294830017,52.14696256960962,30.22255953779619,16.895599294830017,2.306270106794771,-242.07968085543325,1.8549095679892973,4.276538803587514,8.325926204643105,19.166416331694826,16.471276810551895,5,5,1.1031746031746033,True,4.138549443327909,4.8720364491130055e-05,True,True,0.0007529338994827977,0.002121072353846568,
