fold,strategy,model,position_strategy,trading_method,confidence_threshold,total_return_pct,alpha_pct,final_capital,num_trades,win_rate,max_drawdown,risk_reward_ratio,expectancy,sharpe_ratio,max_consecutive_losses,trading_suspended
1,Improved Spot Swing Trading,LightGBM,anti_martingale,spot_swing_improved,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Day Trading,LightGBM,anti_martingale,spot_day_improved,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Swing Trading,LightGBM,anti_martingale,spot_swing_improved,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Day Trading,LightGBM,fixed_risk,spot_day_improved,0.0,-0.03457652285490109,-55.68142649269618,999654.234771451,14,0.14285714285714285,0.0014316890162857673,4.521901332919797,-24.697516324938007,-0.3862057117556621,3.0,False
1,Improved Spot Swing Trading,LightGBM,fixed_risk,spot_swing_improved,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Day Trading,LightGBM,fixed_risk,spot_day_improved,0.2,0.42145700264935027,-55.22539296719194,1004214.5700264934,0,0.0,0.0016897209565775778,0.0,0.0,1.7045962038501778,0.0,False
1,Improved Spot Swing Trading,LightGBM,fixed_risk,spot_swing_improved,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Day Trading,LightGBM,fixed_risk,spot_day_improved,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Swing Trading,LightGBM,fixed_risk,spot_swing_improved,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Day Trading,XGBoost,kelly,spot_day_improved,0.0,-0.23269655402208267,-55.87954652386337,997673.0344597792,14,0.14285714285714285,0.009509163634224705,4.51133600289503,-166.21182430148292,-0.38591374197748135,3.0,False
1,Improved Spot Swing Trading,XGBoost,kelly,spot_swing_improved,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Day Trading,XGBoost,kelly,spot_day_improved,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Swing Trading,XGBoost,kelly,spot_swing_improved,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Day Trading,XGBoost,kelly,spot_day_improved,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Swing Trading,XGBoost,kelly,spot_swing_improved,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Day Trading,XGBoost,anti_martingale,spot_day_improved,0.0,-0.03457652285490109,-55.68142649269618,999654.234771451,14,0.14285714285714285,0.0014316890162857673,4.521901332919797,-24.697516324938007,-0.3862057117556621,3.0,False
1,Improved Spot Swing Trading,XGBoost,anti_martingale,spot_swing_improved,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Day Trading,XGBoost,anti_martingale,spot_day_improved,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Swing Trading,XGBoost,anti_martingale,spot_swing_improved,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Day Trading,XGBoost,anti_martingale,spot_day_improved,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Swing Trading,XGBoost,anti_martingale,spot_swing_improved,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Day Trading,XGBoost,fixed_risk,spot_day_improved,0.0,-0.03457652285490109,-55.68142649269618,999654.234771451,14,0.14285714285714285,0.0014316890162857673,4.521901332919797,-24.697516324938007,-0.3862057117556621,3.0,False
1,Improved Spot Swing Trading,XGBoost,fixed_risk,spot_swing_improved,0.0,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Day Trading,XGBoost,fixed_risk,spot_day_improved,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Swing Trading,XGBoost,fixed_risk,spot_swing_improved,0.2,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Day Trading,XGBoost,fixed_risk,spot_day_improved,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Swing Trading,XGBoost,fixed_risk,spot_swing_improved,0.3,0.0,-55.646849969841284,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,Improved Spot Day Trading,SVM,kelly,spot_day_improved,0.0,0.9444906046889523,-54.70235936515233,1009444.9060468895,9,0.2222222222222222,0.008018300236971502,7.366057709671069,937.4816658669255,1.0009457847268528,3.0,False
1,Improved Spot Swing Trading,SVM,kelly,spot_swing_improved,0.0,1.3301496405272895,-54.316700329313996,1013301.4964052729,7,0.5714285714285714,0.005894913851037227,1.567455235373326,1900.213772181807,1.3611172466152064,1.0,False
1,Improved Spot Day Trading,SVM,kelly,spot_day_improved,0.2,3.3338961687188196,-52.31295380112246,1033338.9616871882,1,1.0,0.010571036487312746,0.0,32226.97618591169,2.211980726917433,0.0,False
1,Improved Spot Swing Trading,SVM,kelly,spot_swing_improved,0.2,1.3301496405272895,-54.316700329313996,1013301.4964052729,7,0.5714285714285714,0.005894913851037227,1.567455235373326,1900.213772181807,1.3611172466152064,1.0,False
1,Improved Spot Day Trading,SVM,kelly,spot_day_improved,0.3,2.1968366545725093,-53.45001331526878,1021968.366545725,1,1.0,0.009301886800779553,0.0,20868.617045806248,1.7310444837567518,0.0,False
1,Improved Spot Swing Trading,SVM,kelly,spot_swing_improved,0.3,1.3301496405272895,-54.316700329313996,1013301.4964052729,7,0.5714285714285714,0.005894913851037227,1.567455235373326,1900.213772181807,1.3611172466152064,1.0,False
1,Improved Spot Day Trading,SVM,anti_martingale,spot_day_improved,0.0,0.14249207675556264,-55.504357893085725,1001424.9207675556,9,0.2222222222222222,0.00120788388370796,7.433060939232685,141.65095088748302,0.9993826706393923,3.0,False
