date,DXY
2025-05-05,99.83000183105469
2025-05-06,99.23999786376953
2025-05-07,99.61000061035156
2025-05-08,100.63999938964844
2025-05-09,100.33999633789062
2025-05-12,101.79000091552734
2025-05-13,101.0
2025-05-14,101.04000091552734
2025-05-15,100.87999725341797
2025-05-16,101.08999633789062
2025-05-19,100.43000030517578
2025-05-20,100.12000274658203
2025-05-21,99.55999755859375
2025-05-22,99.95999908447266
2025-05-23,99.11000061035156
2025-05-26,98.93000030517578
2025-05-27,99.5199966430664
2025-05-28,99.87999725341797
2025-05-29,99.27999877929688
2025-05-30,99.33000183105469
2025-06-02,98.69999694824219
2025-06-03,99.25
2025-06-04,98.79000091552734
2025-06-05,98.73999786376953
2025-06-06,99.19000244140625
2025-06-09,98.94000244140625
2025-06-10,99.05000305175781
2025-06-11,98.62999725341797
2025-06-12,97.91999816894531
2025-06-13,98.18000030517578
2025-06-16,98.0
2025-06-17,98.81999969482422
2025-06-18,98.91000366210938
2025-06-20,98.70999908447266
2025-06-23,98.41999816894531
2025-06-24,97.86000061035156
2025-06-25,97.68000030517578
2025-06-26,97.1500015258789
2025-06-27,97.4000015258789
2025-06-30,96.87999725341797
2025-07-01,96.81999969482422
2025-07-02,96.77999877929688
2025-07-03,97.18000030517578
2025-07-07,97.4800033569336
2025-07-08,97.51000213623047
2025-07-09,97.47000122070312
2025-07-10,97.6500015258789
2025-07-11,97.8499984741211
2025-07-14,98.08000183105469
2025-07-15,98.62000274658203
2025-07-16,98.38999938964844
2025-07-17,98.7300033569336
2025-07-18,98.4800033569336
2025-07-21,97.8499984741211
2025-07-22,97.38999938964844
2025-07-23,97.20999908447266
2025-07-24,97.37999725341797
2025-07-25,97.6500015258789
2025-07-28,98.66000366210938
2025-07-29,98.91000366210938
2025-07-30,99.94000244140625
2025-07-31,100.02999877929688
2025-08-01,98.69000244140625
2025-08-04,98.77999877929688
2025-08-05,98.77999877929688
2025-08-06,98.18000030517578
2025-08-07,98.4000015258789
2025-08-08,98.18000030517578
2025-08-11,98.5199966430664
2025-08-12,98.0999984741211
2025-08-13,97.83999633789062
2025-08-14,98.25
2025-08-15,97.8499984741211
2025-08-18,98.16999816894531
2025-08-19,98.2699966430664
2025-08-20,98.22000122070312
2025-08-21,98.62000274658203
2025-08-22,97.72000122070312
2025-08-25,98.43000030517578
2025-08-26,98.2300033569336
2025-08-27,98.2300033569336
2025-08-28,97.80999755859375
2025-08-29,97.7699966430664
2025-09-02,98.4000015258789
2025-09-03,98.13999938964844
2025-09-04,98.3499984741211
2025-09-05,97.7699966430664
2025-09-08,97.44999694824219
2025-09-09,97.79000091552734
2025-09-10,97.77999877929688
2025-09-11,97.54000091552734
2025-09-12,97.55000305175781
2025-09-15,97.30000305175781
2025-09-16,96.62999725341797
2025-09-17,96.87000274658203
2025-09-18,97.3499984741211
2025-09-19,97.63999938964844
2025-09-22,97.33000183105469
2025-09-23,97.26000213623047
2025-09-24,97.87000274658203
2025-09-25,98.55000305175781
2025-09-26,98.1500015258789
2025-09-29,97.91000366210938
2025-09-30,97.7699966430664
2025-10-01,97.70999908447266
2025-10-02,97.8499984741211
2025-10-03,97.72000122070312
2025-10-06,98.11000061035156
2025-10-07,98.58000183105469
2025-10-08,98.8499984741211
2025-10-09,99.54000091552734
2025-10-10,98.9800033569336
2025-10-13,99.2699966430664
2025-10-14,99.05000305175781
2025-10-15,98.79000091552734
2025-10-16,98.38999938964844
2025-10-17,98.43000030517578
2025-10-20,98.58999633789062
2025-10-21,98.93000030517578
2025-10-22,98.9000015258789
2025-10-23,98.94000244140625
2025-10-24,98.94999694824219
2025-10-27,98.77999877929688
2025-10-28,98.69000244140625
2025-10-29,99.22000122070312
2025-10-30,99.52999877929688
2025-10-31,99.80000305175781
2025-11-03,99.87000274658203
2025-11-04,100.22000122070312
2025-11-05,100.19999694824219
2025-11-06,99.7300033569336
2025-11-07,99.5999984741211
2025-11-10,99.62000274658203
2025-11-11,99.45999908447266
2025-11-12,99.4800033569336
2025-11-13,99.18000030517578
2025-11-14,99.2699966430664
2025-11-17,99.58999633789062
2025-11-18,99.55000305175781
2025-11-19,100.2300033569336
2025-11-20,100.16000366210938
2025-11-21,100.0199966430664
