Model,Final_Value,Total_Return,Buy_Hold_Return,Outperformance,Sharpe_Ratio,Max_Drawdown,N_Trades,N_Buys
RandomForest,19232.64005796505,92.3264005796505,40.05311335504156,52.273287224608936,2.2748743981042137,-11.458668205512248,28,14
GradientBoosting,17111.93319111137,71.11933191111369,40.05311335504156,31.06621855607213,1.6945386599625254,-14.040914107397839,40,20
ExtraTrees,16158.351122148995,61.58351122148995,40.05311335504156,21.53039786644839,1.3787620680893389,-24.375080057062558,54,27
AdaBoost,28907.60296340449,189.07602963404491,40.05311335504156,149.02291627900337,2.575125821822972,-24.937046668513734,49,25
DecisionTree,6062.691125733637,-39.37308874266363,40.05311335504156,-79.42620209770519,-1.4791388822024096,-39.37308874266363,70,35
LogisticRegression,40045.4779081799,300.45477908179896,40.05311335504156,260.4016657267574,3.436335801900882,-10.793339650124064,49,25
RidgeClassifier,15026.54213243764,50.265421324376405,40.05311335504156,10.212307969334844,1.7532144104795333,-12.524948638617353,49,25
SVM_RBF,27767.58821452448,177.6758821452448,40.05311335504156,137.62276879020322,2.1116992681078672,-20.578882001164676,23,12
SVM_Linear,21513.805474527948,115.13805474527948,40.05311335504156,75.08494139023792,2.3661356906559585,-24.275095685768303,59,30
MLP_Small,27071.8095907659,170.718095907659,40.05311335504156,130.66498255261746,2.534034474713108,-18.524705903859722,80,40
MLP_Medium,15807.767125645265,58.077671256452646,40.05311335504156,18.024557901411086,1.6435482390112595,-8.58823177997529,18,9
KNN,16603.88885821794,66.0388885821794,40.05311335504156,25.985775227137836,1.5335572133069553,-14.104657791429037,38,19
NaiveBayes,15336.877754171352,53.36877754171352,40.05311335504156,13.31566418667196,1.0227510322916393,-43.45557769828321,25,13
Bagging_RF,12930.603480789921,29.306034807899213,40.05311335504156,-10.747078547142348,1.1802200343441753,-6.8764974588964645,18,9
Voting_Soft,28788.709556484282,187.8870955648428,40.05311335504156,147.83398220980126,2.9360155559140533,-12.63423139676037,39,20
Voting_Hard,38114.17444067498,281.1417444067498,40.05311335504156,241.08863105170826,3.2125350686857748,-12.1966526449511,65,33
Stacking,20067.41232894095,100.6741232894095,40.05311335504156,60.62100993436793,1.7777257656404957,-19.585851726521035,27,14
