datetime,open,high,low,close,volume
2020-01-01 00:00:00,149900.0,150100.0,148300.0,148550.0,3676.17669539
2020-01-01 01:00:00,148550.0,149500.0,148150.0,149400.0,856.85957638
2020-01-01 02:00:00,149300.0,149350.0,148000.0,148650.0,585.79576177
2020-01-01 03:00:00,148650.0,149450.0,148100.0,149000.0,344.46385061
2020-01-01 04:00:00,148850.0,148850.0,148000.0,148000.0,168.63111455
2020-01-01 05:00:00,148000.0,148100.0,147600.0,147600.0,387.76490475
2020-01-01 06:00:00,147600.0,148150.0,147450.0,148000.0,408.94408987
2020-01-01 07:00:00,148000.0,148550.0,147850.0,148300.0,301.53918762
2020-01-01 08:00:00,148100.0,148400.0,147950.0,148100.0,427.58991943
2020-01-01 09:00:00,148450.0,148450.0,147500.0,147800.0,352.26804353
2020-01-01 10:00:00,147850.0,149500.0,147850.0,149050.0,1143.37632065
2020-01-01 11:00:00,149350.0,149850.0,149250.0,149450.0,871.964821
2020-01-01 12:00:00,149650.0,149700.0,148900.0,149450.0,234.8143187
2020-01-01 13:00:00,149450.0,150050.0,149400.0,149550.0,384.6140679
2020-01-01 14:00:00,149450.0,149800.0,149350.0,149750.0,330.21221545
2020-01-01 15:00:00,149800.0,150100.0,149750.0,149750.0,440.98755461
2020-01-01 16:00:00,149750.0,149800.0,149400.0,149500.0,187.0559366
2020-01-01 17:00:00,149600.0,149600.0,149000.0,149300.0,518.20565274
2020-01-01 18:00:00,149350.0,149750.0,149000.0,149100.0,534.28265646
2020-01-01 19:00:00,149100.0,149600.0,149100.0,149600.0,407.5824128
2020-01-01 20:00:00,149600.0,150550.0,149150.0,149300.0,2362.19331916
2020-01-01 21:00:00,149400.0,150300.0,149300.0,150200.0,628.48383693
2020-01-01 22:00:00,150250.0,150650.0,149750.0,150000.0,1247.90236464
2020-01-01 23:00:00,150000.0,150650.0,149550.0,150200.0,1071.09101338
2020-01-02 00:00:00,150200.0,151150.0,149650.0,150000.0,1783.25937386
2020-01-02 01:00:00,150100.0,150800.0,149850.0,150800.0,292.54582585
2020-01-02 02:00:00,150800.0,150950.0,150250.0,150450.0,302.42481674
2020-01-02 03:00:00,150350.0,150600.0,150000.0,150150.0,87.36363115
2020-01-02 04:00:00,150150.0,150300.0,150000.0,150050.0,178.47467904
2020-01-02 05:00:00,150050.0,150250.0,149800.0,150250.0,211.65624857
2020-01-02 06:00:00,150300.0,150450.0,150050.0,150050.0,167.59027537
2020-01-02 07:00:00,150000.0,150000.0,148250.0,148800.0,1298.1535881
2020-01-02 08:00:00,148800.0,149200.0,148300.0,149150.0,671.19038759
2020-01-02 09:00:00,149150.0,149350.0,148700.0,149250.0,456.17095133
2020-01-02 10:00:00,149250.0,149250.0,148550.0,148550.0,1146.22372688
2020-01-02 11:00:00,148550.0,148600.0,147050.0,147700.0,2148.07967635
2020-01-02 12:00:00,147550.0,147600.0,146850.0,146850.0,1180.27860749
2020-01-02 13:00:00,146850.0,147400.0,146450.0,147000.0,1790.23761153
2020-01-02 14:00:00,147000.0,147150.0,146750.0,147150.0,920.99545086
2020-01-02 15:00:00,147050.0,148200.0,146900.0,147700.0,1913.64888998
2020-01-02 16:00:00,147650.0,147950.0,146900.0,147500.0,969.67054374
2020-01-02 17:00:00,147500.0,148150.0,147350.0,147950.0,584.2645884
2020-01-02 18:00:00,147950.0,148100.0,147250.0,147800.0,545.20732309
2020-01-02 19:00:00,147850.0,148200.0,147650.0,147750.0,656.77937511
2020-01-02 20:00:00,147800.0,147800.0,147350.0,147500.0,570.64934505
2020-01-02 21:00:00,147500.0,148050.0,147450.0,147900.0,759.46317774
2020-01-02 22:00:00,148000.0,148000.0,146800.0,147150.0,693.73484116
2020-01-02 23:00:00,147150.0,147550.0,147000.0,147300.0,228.54984991
2020-01-03 00:00:00,147300.0,147600.0,147200.0,147500.0,148.59151072
2020-01-03 01:00:00,147500.0,147500.0,145250.0,145350.0,1015.79287013
2020-01-03 02:00:00,145350.0,145550.0,144150.0,145200.0,1663.30031003
2020-01-03 03:00:00,145150.0,145500.0,144850.0,145400.0,291.78603687
2020-01-03 04:00:00,145400.0,145700.0,144850.0,145650.0,288.90462737
2020-01-03 05:00:00,145650.0,145650.0,144600.0,145100.0,250.76145695
2020-01-03 06:00:00,145100.0,145600.0,144650.0,145500.0,653.17812269
2020-01-03 07:00:00,145450.0,145650.0,145050.0,145250.0,1001.58656954
2020-01-03 08:00:00,145250.0,145250.0,144550.0,144650.0,1088.56267385
2020-01-03 09:00:00,144650.0,145100.0,144200.0,144200.0,1459.68875314
2020-01-03 10:00:00,144450.0,144450.0,142500.0,142800.0,2421.87393395
2020-01-03 11:00:00,142700.0,145500.0,142500.0,145200.0,2077.4493255
2020-01-03 12:00:00,145200.0,145600.0,144850.0,145000.0,851.86158774
2020-01-03 13:00:00,145050.0,148500.0,145000.0,147700.0,4204.97336038
2020-01-03 14:00:00,147850.0,148950.0,147050.0,147450.0,3107.47907731
2020-01-03 15:00:00,147800.0,148500.0,147350.0,148400.0,1725.1315717
2020-01-03 16:00:00,148400.0,149250.0,147800.0,147850.0,3176.11983559
2020-01-03 17:00:00,147850.0,151500.0,147850.0,150700.0,4113.82815236
2020-01-03 18:00:00,150700.0,151750.0,150350.0,151300.0,3642.05712346
2020-01-03 19:00:00,151300.0,151600.0,149950.0,150600.0,2015.79570664
2020-01-03 20:00:00,150700.0,151250.0,150250.0,151000.0,837.9568349
2020-01-03 21:00:00,151100.0,151250.0,150050.0,150350.0,1825.86815073
2020-01-03 22:00:00,150350.0,152150.0,150350.0,152000.0,2113.09428602
2020-01-03 23:00:00,151800.0,151850.0,149350.0,149850.0,2068.11759978
2020-01-04 00:00:00,149850.0,150950.0,149750.0,150850.0,977.07689908
2020-01-04 01:00:00,151150.0,152250.0,150450.0,151900.0,3479.01572142
2020-01-04 02:00:00,151900.0,153000.0,150700.0,152550.0,2436.39205797
2020-01-04 03:00:00,152550.0,152650.0,151850.0,152050.0,397.44202375
2020-01-04 04:00:00,152150.0,152150.0,150900.0,151600.0,403.75577453
2020-01-04 05:00:00,151600.0,152500.0,151600.0,152050.0,511.264268
2020-01-04 06:00:00,152050.0,152250.0,150800.0,150900.0,363.56534469
2020-01-04 07:00:00,151050.0,151700.0,150850.0,151500.0,387.91408874
2020-01-04 08:00:00,151500.0,153300.0,151500.0,152550.0,1789.74413331
2020-01-04 09:00:00,152300.0,153000.0,151000.0,151500.0,1890.53230443
2020-01-04 10:00:00,151650.0,151650.0,150750.0,151050.0,1136.42665964
2020-01-04 11:00:00,151050.0,151800.0,150900.0,151800.0,427.17190758
2020-01-04 12:00:00,151850.0,152700.0,151650.0,152500.0,2250.71788578
2020-01-04 13:00:00,152500.0,152700.0,151600.0,152700.0,2159.40629288
2020-01-04 14:00:00,152500.0,152900.0,152150.0,152500.0,1098.84230246
2020-01-04 15:00:00,152500.0,153100.0,152450.0,152950.0,1076.87556926
2020-01-04 16:00:00,152950.0,153100.0,152300.0,152500.0,1104.751101
2020-01-04 17:00:00,152550.0,153000.0,152250.0,152650.0,649.38752845
2020-01-04 18:00:00,152650.0,152900.0,152400.0,152800.0,370.50560617
2020-01-04 19:00:00,152800.0,153100.0,151950.0,151950.0,1156.36288643
2020-01-04 20:00:00,151950.0,152150.0,151400.0,151900.0,854.0619433
2020-01-04 21:00:00,151950.0,152000.0,150800.0,150800.0,763.5548352
2020-01-04 22:00:00,150800.0,151450.0,150750.0,151300.0,707.45335279
2020-01-04 23:00:00,151300.0,151950.0,151250.0,151700.0,401.6167264
2020-01-05 00:00:00,151700.0,152200.0,151450.0,152000.0,428.28855573
2020-01-05 01:00:00,151950.0,152150.0,151650.0,152000.0,157.82828553
2020-01-05 02:00:00,152100.0,153300.0,151850.0,152800.0,734.42970343
2020-01-05 03:00:00,153050.0,154700.0,152000.0,152700.0,2447.09850286
2020-01-05 04:00:00,152600.0,153400.0,152300.0,153350.0,497.86450727
2020-01-05 05:00:00,153250.0,153550.0,152900.0,153450.0,245.29250332
2020-01-05 06:00:00,153500.0,153900.0,153000.0,153600.0,309.2700218
2020-01-05 07:00:00,153600.0,153900.0,153450.0,153600.0,339.14372656
2020-01-05 08:00:00,153600.0,153650.0,152550.0,153250.0,1190.66078499
2020-01-05 09:00:00,153250.0,153900.0,152950.0,153500.0,829.39017157
