Model,FPR,TPR,Threshold,AUC
GradientBoosting,0.2890625,0.5555555555555556,0.4274698685093948,0.6821759259259259
GradientBoosting,0.2890625,0.5851851851851851,0.42454989445769437,0.6821759259259259
GradientBoosting,0.296875,0.5851851851851851,0.4240831766140694,0.6821759259259259
GradientBoosting,0.296875,0.6074074074074074,0.42176280833563284,0.6821759259259259
GradientBoosting,0.3046875,0.6074074074074074,0.4212417559826117,0.6821759259259259
GradientBoosting,0.3046875,0.6148148148148148,0.4174744890269441,0.6821759259259259
GradientBoosting,0.3125,0.6148148148148148,0.41671981712388084,0.6821759259259259
GradientBoosting,0.3125,0.6222222222222222,0.41558814515943043,0.6821759259259259
GradientBoosting,0.3515625,0.6222222222222222,0.4059122772169623,0.6821759259259259
GradientBoosting,0.3515625,0.6370370370370371,0.40404745058196945,0.6821759259259259
GradientBoosting,0.359375,0.6370370370370371,0.40143452670050833,0.6821759259259259
GradientBoosting,0.359375,0.6444444444444445,0.398040162768853,0.6821759259259259
GradientBoosting,0.3671875,0.6444444444444445,0.3979837208261893,0.6821759259259259
GradientBoosting,0.3671875,0.6592592592592592,0.3961883816792875,0.6821759259259259
GradientBoosting,0.375,0.6592592592592592,0.39517835758668035,0.6821759259259259
GradientBoosting,0.375,0.674074074074074,0.3941924478015175,0.6821759259259259
GradientBoosting,0.3984375,0.674074074074074,0.3925677748246287,0.6821759259259259
GradientBoosting,0.3984375,0.6888888888888889,0.3911282786951231,0.6821759259259259
GradientBoosting,0.4296875,0.6888888888888889,0.38712981049364886,0.6821759259259259
GradientBoosting,0.4296875,0.7037037037037037,0.3842600418183392,0.6821759259259259
GradientBoosting,0.4375,0.7037037037037037,0.3842085508104702,0.6821759259259259
GradientBoosting,0.4375,0.7111111111111111,0.38338510971526973,0.6821759259259259
GradientBoosting,0.453125,0.7111111111111111,0.3792771328464926,0.6821759259259259
GradientBoosting,0.453125,0.725925925925926,0.37817865687033564,0.6821759259259259
GradientBoosting,0.484375,0.725925925925926,0.37726148049383645,0.6821759259259259
GradientBoosting,0.484375,0.7481481481481481,0.37190433442615883,0.6821759259259259
GradientBoosting,0.4921875,0.7481481481481481,0.3709807886905378,0.6821759259259259
GradientBoosting,0.4921875,0.7555555555555555,0.3707172059236993,0.6821759259259259
GradientBoosting,0.5,0.7555555555555555,0.36917768727678685,0.6821759259259259
GradientBoosting,0.5,0.7777777777777778,0.36669836332383154,0.6821759259259259
GradientBoosting,0.5234375,0.7777777777777778,0.3628975765932469,0.6821759259259259
GradientBoosting,0.5234375,0.7851851851851852,0.362342883610602,0.6821759259259259
GradientBoosting,0.5546875,0.7851851851851852,0.3511300190823003,0.6821759259259259
GradientBoosting,0.5546875,0.8,0.34792981597158695,0.6821759259259259
GradientBoosting,0.5625,0.8,0.3466480985056545,0.6821759259259259
GradientBoosting,0.5625,0.8296296296296296,0.3387011313780472,0.6821759259259259
GradientBoosting,0.6015625,0.8296296296296296,0.33548231099049264,0.6821759259259259
GradientBoosting,0.6015625,0.837037037037037,0.33467678347769353,0.6821759259259259
GradientBoosting,0.609375,0.837037037037037,0.3329981038585066,0.6821759259259259
GradientBoosting,0.609375,0.8444444444444444,0.3323882674978963,0.6821759259259259
GradientBoosting,0.625,0.8444444444444444,0.32822012709236503,0.6821759259259259
GradientBoosting,0.625,0.8518518518518519,0.3282153328911967,0.6821759259259259
GradientBoosting,0.6484375,0.8518518518518519,0.32021654091281176,0.6821759259259259
GradientBoosting,0.6484375,0.8592592592592593,0.3198365182509925,0.6821759259259259
GradientBoosting,0.6796875,0.8592592592592593,0.3114210223310372,0.6821759259259259
GradientBoosting,0.6796875,0.8814814814814815,0.30665031168817963,0.6821759259259259
GradientBoosting,0.6875,0.8814814814814815,0.30364542982823417,0.6821759259259259
GradientBoosting,0.6875,0.8888888888888888,0.30332906520565767,0.6821759259259259
GradientBoosting,0.7109375,0.8888888888888888,0.298218195056322,0.6821759259259259
GradientBoosting,0.7109375,0.8962962962962963,0.2973561805409492,0.6821759259259259
GradientBoosting,0.71875,0.8962962962962963,0.29618307829893836,0.6821759259259259
GradientBoosting,0.71875,0.9037037037037037,0.2959704079600347,0.6821759259259259
GradientBoosting,0.7265625,0.9037037037037037,0.29585022474056516,0.6821759259259259
GradientBoosting,0.7265625,0.9111111111111111,0.2943297365008405,0.6821759259259259
GradientBoosting,0.7734375,0.9111111111111111,0.28075967540083774,0.6821759259259259
GradientBoosting,0.7734375,0.9185185185185185,0.27915904204990527,0.6821759259259259
GradientBoosting,0.8125,0.9185185185185185,0.27645457383994254,0.6821759259259259
GradientBoosting,0.8125,0.9259259259259259,0.2760931230205418,0.6821759259259259
GradientBoosting,0.828125,0.9259259259259259,0.2746095658028306,0.6821759259259259
GradientBoosting,0.828125,0.9333333333333333,0.27284494635713114,0.6821759259259259
GradientBoosting,0.8359375,0.9333333333333333,0.27107757053124937,0.6821759259259259
GradientBoosting,0.8359375,0.9481481481481482,0.27072050173868173,0.6821759259259259
GradientBoosting,0.84375,0.9481481481481482,0.2642199384058802,0.6821759259259259
GradientBoosting,0.84375,0.9555555555555556,0.2619070339705878,0.6821759259259259
GradientBoosting,0.875,0.9555555555555556,0.25712121208188715,0.6821759259259259
GradientBoosting,0.875,0.9629629629629629,0.2533248745701134,0.6821759259259259
GradientBoosting,0.921875,0.9629629629629629,0.22343540504070714,0.6821759259259259
GradientBoosting,0.921875,0.9703703703703703,0.2228698697749461,0.6821759259259259
GradientBoosting,0.9296875,0.9703703703703703,0.21924874534788102,0.6821759259259259
GradientBoosting,0.9296875,0.9777777777777777,0.21894546546818744,0.6821759259259259
GradientBoosting,0.9375,0.9777777777777777,0.21299082412484377,0.6821759259259259
GradientBoosting,0.9375,0.9851851851851852,0.20908719540735277,0.6821759259259259
GradientBoosting,0.9453125,0.9851851851851852,0.20784717641156913,0.6821759259259259
GradientBoosting,0.9453125,1.0,0.20069608882270004,0.6821759259259259
GradientBoosting,1.0,1.0,0.11337407074354348,0.6821759259259259
ExtraTrees,0.0,0.0,inf,0.5987847222222221
ExtraTrees,0.0,0.007407407407407408,0.634962406218232,0.5987847222222221
ExtraTrees,0.0,0.05185185185185185,0.6011206150672825,0.5987847222222221
ExtraTrees,0.0078125,0.05185185185185185,0.6008342080668125,0.5987847222222221
ExtraTrees,0.0078125,0.08148148148148149,0.5870133685505191,0.5987847222222221
ExtraTrees,0.03125,0.08148148148148149,0.5851090405783864,0.5987847222222221
ExtraTrees,0.03125,0.13333333333333333,0.5786925225528305,0.5987847222222221
ExtraTrees,0.0390625,0.13333333333333333,0.5776422760274927,0.5987847222222221
ExtraTrees,0.0390625,0.14074074074074075,0.5756861305813297,0.5987847222222221
ExtraTrees,0.046875,0.14074074074074075,0.5752602253395687,0.5987847222222221
ExtraTrees,0.046875,0.15555555555555556,0.5685936854445802,0.5987847222222221
ExtraTrees,0.0546875,0.15555555555555556,0.5655269694729325,0.5987847222222221
ExtraTrees,0.0546875,0.16296296296296298,0.5653086917062654,0.5987847222222221
ExtraTrees,0.078125,0.16296296296296298,0.5615426408782729,0.5987847222222221
