fold,date_start,date_end,num_days,accuracy,total_return,total_return_pct,annual_return_pct,num_trades,num_wins,num_losses,win_rate,avg_profit_per_trade,avg_win,avg_loss,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,final_capital,years
1,2022-10-10,2022-12-08,60,45.0,-93.2421989801951,-0.9324219898019509,-3.8581463286760265,28,14,14,50.0,-3.3300785350071185,25.514845263212248,32.17500233322649,0.7930021262768822,-203.65740058912706,2.0329226526089563,-0.9311201453583215,-1.0232048379319538,-1.8978323271299402,-0.4578385008866363,2,2,9906.757801019805,0.23809523809523808
2,2023-06-07,2023-08-05,60,66.66666666666666,416.5408675375147,4.165408675375147,18.69674040534739,41,26,15,63.41463414634146,10.159533354573611,23.009380371265475,12.113534807692282,3.2924267449608413,-63.156117116588575,0.6054342812086312,5.109852658625449,18.626353300397053,30.881535759790484,6.595416034975116,8,3,10416.540867537515,0.23809523809523808
3,2024-02-02,2024-04-01,60,65.0,963.6017528943212,9.636017528943212,47.16470251287994,57,32,25,56.14035087719298,16.905293910426828,49.44326723831887,24.74331194927499,2.557757110074448,-159.72465628593272,1.4585726436332296,5.357231638691043,10.279935213515678,32.33620397225817,6.032892950286396,6,3,10963.601752894321,0.23809523809523808
4,2024-09-29,2024-11-27,60,56.666666666666664,315.8221365247009,3.158221365247009,13.950477954212758,52,29,23,55.769230769230774,6.0735026254751014,27.39560282552492,20.810884583283354,1.6598180478707056,-146.30877358255748,1.4199531766362061,2.915081155375419,5.917005934281266,9.82460420790825,2.158600122134797,6,4,10315.8221365247,0.23809523809523808
5,2025-01-01,2025-10-05,278,62.94964028776978,2055.9786431544126,20.559786431544126,18.46989249502238,227,128,99,56.38766519823789,9.057174639446743,35.37524615243239,24.970230953100344,1.8316887849763854,-215.5267144723075,1.9083700629564635,3.1734746137496623,5.0144998985354245,9.678360006553792,9.53932160191019,7,5,12055.978643154413,1.1031746031746033
