model,confidence_threshold,total_predictions,base_accuracy,date_start,date_end,total_return,total_return_pct,annual_return_pct,num_trades,num_wins,num_losses,win_rate,avg_profit_per_trade,avg_win,avg_loss,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,final_capital,num_days,years
GradientBoosting,0.1,518,61.77606177606177,2022-10-10,2025-10-05,6972.7266217948345,69.72726621794834,29.351377051483475,477,274,203,57.44234800838575,14.617875517389638,49.22104172625335,32.087875917234285,2.070448137250093,-448.26008499063755,3.0649105240176175,3.5719958673959757,5.79817366609007,9.576585293918603,15.555091464234359,8,5,16972.726621794835,518,2.0555555555555554
GradientBoosting,0.15,518,61.77606177606177,2022-10-10,2025-10-05,6191.31621254578,61.9131621254578,26.419171567868105,460,265,195,57.608695652173914,13.459383070751716,45.25462541234614,29.749536008850967,2.067254949524948,-403.0242281603787,2.939600972391458,3.533765777431425,5.58220613874321,8.987332572003906,15.362143960442049,8,5,16191.31621254578,518,2.0555555555555554
GradientBoosting,0.2,518,61.77606177606177,2022-10-10,2025-10-05,6718.155502774862,67.18155502774862,28.403872382817895,442,252,190,57.01357466063348,15.199446838857098,50.98081205726916,32.25794281924732,2.0961242435894487,-418.4586649725734,3.100880105285593,3.7926669584623407,6.782572310522908,9.159938926500958,16.054525966657145,8,6,16718.15550277486,518,2.0555555555555554
Hybrid_LSTM_GRU,0.0,368,58.69565217391305,2022-11-09,2025-10-05,58.238204139061054,0.5823820413906106,0.3984399679291206,368,193,175,52.44565217391305,0.1582559895083621,11.125088189346396,11.936593236598728,1.0278797921099647,-232.5649335748294,2.264448879498558,0.12380792724350353,0.12746880712854988,0.17595449892308965,0.25041696202373737,9,5,10058.238204139061,368,1.4603174603174602
Hybrid_LSTM_GRU,0.05,368,58.69565217391305,2022-11-09,2025-10-05,150.32909983022546,1.5032909983022547,1.0270044269970358,312,168,144,53.84615384615385,0.48182403791736245,14.104359943097332,15.41113451812594,1.0677401187385933,-211.52525926779708,2.080146765574806,0.2682471768152914,0.26608668158537874,0.493717291487961,0.7106910084904067,11,6,10150.329099830225,368,1.4603174603174602
Hybrid_LSTM_GRU,0.1,368,58.69565217391305,2022-11-09,2025-10-05,2267.1588224876305,22.671588224876306,15.019199227706048,260,145,115,55.769230769230774,8.719841624952402,39.21447441660738,29.72991276452561,1.6631174702569036,-389.6813629505068,3.1458986817889576,2.4601694199101938,3.285711823579994,4.774215811414873,5.81798114572798,9,5,12267.15882248763,368,1.4603174603174602
Hybrid_LSTM_GRU,0.15,368,58.69565217391305,2022-11-09,2025-10-05,-251.1185600917779,-2.5111856009177793,-1.726498240211638,218,120,98,55.04587155963303,-1.151920000420996,8.257457719696216,12.673607004646156,0.7978133387194822,-237.15789108695571,2.3799657443419036,-0.6829725208747001,-0.5938043940702254,-0.7254298698694257,-1.058866559070992,10,4,9748.881439908222,368,1.4603174603174602
Hybrid_LSTM_GRU,0.2,368,58.69565217391305,2022-11-09,2025-10-05,1921.139600307919,19.21139600307919,12.787529556886735,163,92,71,56.44171779141104,11.786132517226482,39.136138036541624,23.653311254280467,2.143954177865575,-189.77011406365273,1.6460169144686578,3.7437135813007276,6.0127112511402725,7.7687716599283005,10.123509751717439,8,3,11921.139600307919,368,1.4603174603174602
KNN,0.0,518,55.4054054054054,2022-10-10,2025-10-05,-237.59494655048002,-2.3759494655048,-1.163004378209076,518,263,255,50.77220077220077,-0.45867750299322957,4.558755532812919,5.633520202667806,0.834606985523533,-261.77338350870923,2.61533369445374,-0.5619993072817614,-0.5267096617104737,-0.4446868025580922,-0.9076359993741503,7,6,9762.40505344952,518,2.0555555555555554
KNN,0.05,518,55.4054054054054,2022-10-10,2025-10-05,-237.59494655048002,-2.3759494655048,-1.163004378209076,518,263,255,50.77220077220077,-0.45867750299322957,4.558755532812919,5.633520202667806,0.834606985523533,-261.77338350870923,2.61533369445374,-0.5619993072817614,-0.5267096617104737,-0.4446868025580922,-0.9076359993741503,7,6,9762.40505344952,518,2.0555555555555554
KNN,0.1,518,55.4054054054054,2022-10-10,2025-10-05,-237.59494655048002,-2.3759494655048,-1.163004378209076,518,263,255,50.77220077220077,-0.45867750299322957,4.558755532812919,5.633520202667806,0.834606985523533,-261.77338350870923,2.61533369445374,-0.5619993072817614,-0.5267096617104737,-0.4446868025580922,-0.9076359993741503,7,6,9762.40505344952,518,2.0555555555555554
KNN,0.15,518,55.4054054054054,2022-10-10,2025-10-05,-43.906493807467996,-0.43906493807467994,-0.21384049043240427,312,156,156,50.0,-0.14072594169061,8.786445717184993,9.067897600566212,0.9689617267663405,-304.86423804569677,2.9817279906313754,-0.08980194850173605,-0.1209551691279833,-0.07171696784693092,-0.14401982367274824,7,7,9956.093506192532,518,2.0555555555555554
KNN,0.2,518,55.4054054054054,2022-10-10,2025-10-05,-65.87325692568629,-0.6587325692568629,-0.3210083164767674,298,151,147,50.671140939597315,-0.22105119773722082,9.11896564892741,9.815218162678446,0.9543446323224624,-304.1915966631932,2.9817279906314007,-0.1428049934459117,-0.18516955200509058,-0.10765848443767394,-0.21655186286629224,7,7,9934.126743074314,518,2.0555555555555554
LSTM,0.0,368,59.78260869565217,2022-11-09,2025-10-05,128.1175271722077,1.281175271722077,0.8755648858290721,368,196,172,53.2608695652174,0.3481454542722988,10.934533215471008,11.71541269220995,1.063580290647358,-328.2841176431848,3.2300340596074637,0.2686164994837872,0.3019932258803076,0.27106986170154407,0.39026416535770364,8,6,10128.117527172208,368,1.4603174603174602
LSTM,0.05,368,59.78260869565217,2022-11-09,2025-10-05,2679.612102080351,26.79612102080351,17.653587307222285,302,166,136,54.966887417218544,8.872887755232899,39.93165920826654,29.03708328302875,1.6785471519404016,-411.05471106715413,3.7538684786948084,2.443877186712661,3.294594769190183,4.7027719291221155,6.518869702584633,8,5,12679.612102080351,368,1.4603174603174602
LSTM,0.1,368,59.78260869565217,2022-11-09,2025-10-05,4133.8217983248305,41.338217983248306,26.73459130257818,236,139,97,58.89830508474576,17.51619406069841,52.59211967797732,32.74724574138169,2.3013833256976963,-330.9587847441162,2.764123532864443,4.0152467420371645,7.5855194227497575,9.671995836913013,12.49044288557239,8,5,14133.82179832483,368,1.4603174603174602
LSTM,0.15,368,59.78260869565217,2022-11-09,2025-10-05,3845.8981954558403,38.4589819545584,24.96093176562859,187,113,74,60.42780748663101,20.566300510459016,53.04179141810006,29.02465182147934,2.7906019185190956,-276.5572124697246,2.591840497248314,4.604207921628279,10.246669216942646,9.6305817399369,13.90633844299707,8,4,13845.89819545584,368,1.4603174603174602
LSTM,0.2,368,59.78260869565217,2022-11-09,2025-10-05,3941.7747939382316,39.417747939382316,25.55282811430859,142,88,54,61.97183098591549,27.758977422100283,60.87825183131711,26.213173466993798,3.7847002046237246,-221.78092585007835,2.1821340289317592,5.658373991971562,16.36738498635571,11.71001770538252,17.773281353342494,8,4,13941.774793938232,368,1.4603174603174602
LightGBM,0.0,518,61.38996138996139,2022-10-10,2025-10-05,2684.608365844475,26.846083658444748,12.264616085282153,518,290,228,55.98455598455598,5.182641632904401,23.877328525422122,18.59568818652603,1.6331896930999688,-297.9213524479874,2.7998426830012986,2.0333954707358046,2.6484156064800612,4.380466145381806,9.01113110485482,9,5,12684.608365844475,518,2.0555555555555554
LightGBM,0.05,518,61.38996138996139,2022-10-10,2025-10-05,4480.761309564099,44.80761309564099,19.735474832337772,419,243,176,57.995226730310264,10.693941072945313,39.839289750129645,29.5465119302126,1.8616540299985753,-306.5761066409068,2.7992954845181828,3.172393823010056,5.116495992292781,7.050157777729084,14.61549420357283,7,5,14480.761309564099,518,2.0555555555555554
LightGBM,0.1,518,61.38996138996139,2022-10-10,2025-10-05,2294.1108837402044,22.941108837402044,10.56977849932721,350,199,151,56.85714285714286,6.554602524972009,29.94787081951523,24.274936485717408,1.625863112699665,-255.1633022901533,2.1763733415160202,2.554517412700316,3.7366954910896757,4.856601713364355,8.990755579466153,7,5,12294.110883740204,518,2.0555555555555554
LightGBM,0.15,518,61.38996138996139,2022-10-10,2025-10-05,3017.7712297824364,30.177712297824367,13.689544164217015,258,150,108,58.139534883720934,11.696787712334963,42.10393437948111,30.535360436479127,1.9150809357504006,-278.450676813527,2.2239359698143266,3.5276490378851446,5.743716927234678,6.1555477990492395,10.837722731783407,9,4,13017.771229782436,518,2.0555555555555554
LightGBM,0.2,518,61.38996138996139,2022-10-10,2025-10-05,4587.211151969601,45.872111519696006,20.16287018713534,176,111,65,63.06818181818182,26.063699727099944,59.3703744929186,30.813852565298077,3.290284186682579,-222.76934524316312,1.747601657310031,5.492511506515095,11.957958097150836,11.537451971847364,20.591752186381147,9,3,14587.2111519696,518,2.0555555555555554
LogisticRegression,0.0,518,56.56370656370656,2022-10-10,2025-10-05,1505.7819568118648,15.057819568118646,7.061883305087435,518,269,249,51.930501930501926,2.9069149745402476,17.221922902740637,12.55789278725054,1.4815550823757213,-579.6657451023893,4.805226245588166,1.4861194853367825,2.367990068574902,1.4696255585408031,2.597672830479039,8,10,11505.781956811865,518,2.0555555555555554
LogisticRegression,0.05,518,56.56370656370656,2022-10-10,2025-10-05,1544.0725799037446,15.440725799037446,7.235068724066895,134,80,54,59.70149253731343,11.522929700774197,38.72852881669493,28.78166158207134,1.9934776205796207,-260.27713409428,2.246807033369975,3.3393016847665553,6.3931489470996175,3.2201558107173325,5.932417326158341,9,4,11544.072579903745,518,2.0555555555555554
LogisticRegression,0.1,518,56.56370656370656,2022-10-10,2025-10-05,1769.4170656953956,17.694170656953958,8.248360772469221,95,60,35,63.1578947368421,18.625442796793642,48.073401476481386,31.85677208267105,2.586939605004198,-257.1696807139979,2.140041789088089,4.866728502362873,8.801843630912149,3.8542989274915036,6.880348650676243,9,3,11769.417065695396,518,2.0555555555555554
LogisticRegression,0.15,518,56.56370656370656,2022-10-10,2025-10-05,1402.3835243315425,14.023835243315425,6.592736284044065,61,40,21,65.57377049180327,22.98989384150065,46.81251320077088,22.386523985680743,3.9830521195709747,-100.57948675170701,0.9317101941575928,7.055478124318085,17.093339303042846,7.075951648253562,13.943037190013714,9,4,11402.383524331543,518,2.0555555555555554
