fold,date_start,date_end,num_days,accuracy,total_return,total_return_pct,annual_return_pct,num_trades,num_wins,num_losses,win_rate,avg_profit_per_trade,avg_win,avg_loss,profit_factor,max_drawdown,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,recovery_factor,max_consecutive_wins,max_consecutive_losses,final_capital,years
1,2022-10-10,2022-12-08,60,63.33333333333333,543.1270897450831,5.4312708974508315,24.87389406188061,35,20,15,57.14285714285714,15.51791684985957,46.60110193056255,25.926329924411064,2.396590753694763,-90.35307051776908,0.8591650742182257,4.600582245647478,11.428790541180954,28.951239765552554,6.011163612179293,3,3,10543.127089745083,0.23809523809523808
2,2023-06-07,2023-08-05,60,60.0,122.57331137452456,1.2257331137452456,5.249952677180847,5,5,0,100.0,24.5146622749052,24.5146622749052,0.0,0.0,0.0,0.0,18.060433302526828,0.0,0.0,0.0,5,0,10122.573311374525,0.23809523809523808
3,2024-02-02,2024-04-01,60,63.33333333333333,796.042096025154,7.960420960251541,37.94666042459591,56,32,24,57.14285714285714,14.215037429020628,51.62200637610492,35.660921167091765,1.930105549217358,-257.42707695708305,2.368300840044867,3.6757655031793695,4.328447546297178,16.022736547218816,3.0923013438787024,5,3,10796.042096025154,0.23809523809523808
4,2024-09-29,2024-11-27,60,61.66666666666667,775.4807280924397,7.754807280924397,36.846580226324456,43,27,16,62.7906976744186,18.03443553703349,46.19863558237106,29.492652039473676,2.64337698220246,-116.21388798963017,1.1288398926315022,5.352027670804533,14.223323208727566,32.64110390396402,6.672874830258121,5,4,10775.48072809244,0.23809523809523808
5,2025-01-01,2025-10-05,278,63.66906474820144,4138.42811477432,41.3842811477432,36.87837336841196,223,133,90,59.64125560538116,18.557973608853487,56.23412938001046,37.11901214185624,2.2387865935891305,-305.521416487416,2.34319639246134,4.412183204932863,7.791481666579687,15.738490161157246,13.545459962688987,8,3,14138.42811477432,1.1031746031746033
