trade_number,equity
0,10000.0
1,10000.0
2,10000.0
3,9993.248426791051
4,9993.248426791051
5,9993.248426791051
6,9993.248426791051
7,9993.248426791051
8,9993.248426791051
9,9993.248426791051
10,9993.248426791051
11,9993.248426791051
12,9980.776303031085
13,9980.776303031085
14,9980.776303031085
15,9980.776303031085
16,9980.776303031085
17,10013.097695544526
18,10013.097695544526
19,9971.085561931615
20,9987.55127428915
21,9997.462380115323
22,9997.462380115323
23,9997.462380115323
24,9997.462380115323
25,9924.458666017576
26,9933.35547547372
27,9966.467931367553
28,9966.467931367553
29,9966.467931367553
30,9966.467931367553
31,9966.467931367553
32,9966.467931367553
33,9966.467931367553
34,9938.055090032447
35,9938.055090032447
36,9938.055090032447
37,9938.055090032447
38,9938.055090032447
39,9938.055090032447
40,9938.055090032447
41,9938.055090032447
42,9938.055090032447
43,9938.055090032447
44,9938.055090032447
45,9938.055090032447
46,9938.055090032447
47,9938.055090032447
48,9938.055090032447
49,9915.520539137646
50,9875.134367240138
51,9875.134367240138
52,9875.134367240138
53,9875.134367240138
54,9913.32688073965
55,9882.830152103103
56,9882.830152103103
57,9871.99548860489
58,9901.438072591192
59,9901.438072591192
60,9913.047760310288
61,9913.047760310288
62,9913.047760310288
63,9913.047760310288
64,9913.047760310288
65,9913.047760310288
66,9913.047760310288
67,9913.047760310288
68,9913.047760310288
69,9913.047760310288
70,9913.047760310288
71,9913.047760310288
72,9913.047760310288
73,9913.047760310288
74,9913.047760310288
75,9913.047760310288
76,9913.047760310288
77,9913.047760310288
78,9913.047760310288
79,9913.047760310288
80,9913.047760310288
81,9913.047760310288
82,9913.047760310288
83,9913.047760310288
84,9913.047760310288
85,9913.047760310288
86,9913.047760310288
87,9913.047760310288
88,9913.047760310288
89,9913.047760310288
90,9913.047760310288
91,9913.047760310288
92,9913.047760310288
93,9913.047760310288
94,9913.047760310288
95,9913.047760310288
96,9913.047760310288
97,9913.047760310288
98,9913.047760310288
99,9913.047760310288
100,9913.047760310288
101,9913.047760310288
102,9913.047760310288
103,9913.047760310288
104,9913.047760310288
105,9913.047760310288
106,9913.047760310288
107,9913.047760310288
108,9913.047760310288
109,9913.047760310288
110,9913.047760310288
111,9913.047760310288
112,9913.047760310288
113,9913.047760310288
114,9913.047760310288
115,9913.047760310288
116,9913.047760310288
117,9913.047760310288
118,9913.047760310288
119,9913.047760310288
120,9913.047760310288
121,9906.393450932708
122,9902.102431531292
123,9904.649568462071
124,9934.257211699869
125,9934.257211699869
126,9934.257211699869
127,9934.257211699869
128,9934.257211699869
129,9934.257211699869
130,9934.257211699869
131,9934.257211699869
132,9934.257211699869
133,9934.257211699869
134,9934.257211699869
135,9934.257211699869
136,9934.257211699869
137,9934.257211699869
138,9934.257211699869
139,9934.257211699869
140,9934.257211699869
141,9934.257211699869
142,9934.257211699869
143,9934.257211699869
144,9934.257211699869
145,9934.257211699869
146,9934.257211699869
147,9934.257211699869
148,9934.257211699869
149,9934.257211699869
150,9934.257211699869
151,9934.257211699869
152,9934.257211699869
153,9934.257211699869
154,9934.257211699869
155,9934.257211699869
156,9934.257211699869
157,9934.257211699869
158,9934.257211699869
159,9934.257211699869
160,9934.257211699869
161,9934.257211699869
162,9934.257211699869
163,9934.257211699869
164,9934.257211699869
165,9934.257211699869
166,9934.257211699869
167,9934.257211699869
168,9934.257211699869
169,9934.257211699869
170,9934.229288323711
171,9934.349185715146
172,9934.349185715146
173,9934.349185715146
174,9934.349185715146
175,9934.349185715146
176,9934.349185715146
177,9934.308958137568
178,9934.308958137568
179,9946.467010950411
180,9946.467010950411
181,9951.069146941925
182,9951.069146941925
183,9931.93080707813
184,9928.207577455445
185,9934.988350866794
186,9934.988350866794
187,9932.289010116137
188,9932.289010116137
189,9932.289010116137
190,9923.644077236026
191,9924.805643459349
192,9924.805643459349
193,9928.06653528286
194,9928.06653528286
195,9928.06653528286
196,9928.06653528286
197,9928.06653528286
198,9928.06653528286
199,9928.06653528286
200,9928.06653528286
201,9928.06653528286
202,9928.06653528286
203,9928.06653528286
204,9928.06653528286
205,9928.06653528286
206,9928.06653528286
207,9928.06653528286
208,9928.06653528286
209,9928.06653528286
210,9928.06653528286
211,9928.06653528286
212,9928.06653528286
213,9928.06653528286
214,9928.06653528286
215,9928.06653528286
216,9928.06653528286
