date,ethereum
2017-01-01,0.4686373467916366
2017-01-08,0.4686373467916366
2017-01-15,0.0
2017-01-22,0.0
2017-01-29,0.0
2017-02-05,0.0
2017-02-12,0.4686373467916366
2017-02-19,0.4686373467916366
2017-02-26,1.8745493871665464
2017-03-05,1.40591204037491
2017-03-12,5.155010814708003
2017-03-19,3.749098774333093
2017-03-26,2.81182408074982
2017-04-02,2.343186733958183
2017-04-09,1.40591204037491
2017-04-16,1.8745493871665464
2017-04-23,3.749098774333093
2017-04-30,7.498197548666186
2017-05-07,5.62364816149964
2017-05-14,6.092285508291276
2017-05-21,21.088680605623647
2017-05-28,16.402307137707282
2017-06-04,19.68276856524874
2017-06-11,33.2732516222062
2017-06-18,25.306416726748377
2017-06-25,22.963229992790193
2017-07-02,14.996395097332371
2017-07-09,17.339581831290555
2017-07-16,17.339581831290555
2017-07-23,11.24729632299928
2017-07-30,10.778658976207643
2017-08-06,12.653208363374189
2017-08-13,12.653208363374189
2017-08-20,11.715933669790916
2017-08-27,14.527757750540735
2017-09-03,13.121845710165825
2017-09-10,11.24729632299928
2017-09-17,8.904109589041095
2017-09-24,7.498197548666186
2017-10-01,7.029560201874549
2017-10-08,9.84138428262437
2017-10-15,11.715933669790916
2017-10-22,9.372746935832732
2017-10-29,11.715933669790916
2017-11-05,14.059120403749098
2017-11-12,11.715933669790916
2017-11-19,20.151405912040374
2017-11-26,29.05551550108147
2017-12-03,32.804614275414565
2017-12-10,42.64599855803893
2017-12-17,40.30281182408075
2017-12-24,24.369142033165105
2017-12-31,30.930064888248015
2018-01-07,45.92645998558039
2018-01-14,34.67916366258111
2018-01-21,21.088680605623647
2018-01-28,20.620043258832013
2018-02-04,17.339581831290555
2018-02-11,13.121845710165825
2018-02-18,11.715933669790916
2018-02-25,8.904109589041095
2018-03-04,9.372746935832732
2018-03-11,8.435472242249459
2018-03-18,8.435472242249459
2018-03-25,9.372746935832732
2018-04-01,7.029560201874549
2018-04-08,6.092285508291276
2018-04-15,6.092285508291276
2018-04-22,7.029560201874549
2018-04-29,7.498197548666186
2018-05-06,7.966834895457823
2018-05-13,6.092285508291276
2018-05-20,5.62364816149964
2018-05-27,5.155010814708003
2018-06-03,4.217736121124729
2018-06-10,5.62364816149964
2018-06-17,3.749098774333093
2018-06-24,4.217736121124729
2018-07-01,3.749098774333093
2018-07-08,3.749098774333093
2018-07-15,3.749098774333093
2018-07-22,3.749098774333093
2018-07-29,3.749098774333093
2018-08-05,4.686373467916366
2018-08-12,6.560922855082913
2018-08-19,4.217736121124729
2018-08-26,3.749098774333093
2018-09-02,4.686373467916366
2018-09-09,5.62364816149964
2018-09-16,3.749098774333093
2018-09-23,3.2804614275414563
2018-09-30,2.81182408074982
2018-10-07,2.81182408074982
2018-10-14,2.81182408074982
2018-10-21,2.343186733958183
2018-10-28,2.81182408074982
2018-11-04,2.81182408074982
2018-11-11,2.81182408074982
2018-11-18,3.749098774333093
2018-11-25,3.749098774333093
2018-12-02,3.2804614275414563
2018-12-09,2.81182408074982
2018-12-16,2.81182408074982
2018-12-23,3.749098774333093
2018-12-30,3.749098774333093
2019-01-06,4.217736121124729
2019-01-13,3.2804614275414563
2019-01-20,1.8745493871665464
2019-01-27,1.8745493871665464
2019-02-03,1.8745493871665464
2019-02-10,1.8745493871665464
2019-02-17,3.2804614275414563
2019-02-24,3.2804614275414563
2019-03-03,1.8745493871665464
2019-03-10,1.8745493871665464
2019-03-17,1.8745493871665464
2019-03-24,1.40591204037491
2019-03-31,2.81182408074982
2019-04-07,2.81182408074982
2019-04-14,1.8745493871665464
2019-04-21,1.8745493871665464
2019-04-28,2.343186733958183
2019-05-05,2.81182408074982
2019-05-12,5.62364816149964
2019-05-19,3.2804614275414563
2019-05-26,3.749098774333093
2019-06-02,2.81182408074982
2019-06-09,2.81182408074982
2019-06-16,4.217736121124729
2019-06-23,6.560922855082913
2019-06-30,4.686373467916366
2019-07-07,9.372746935832732
2019-07-14,13.590483056957462
2019-07-21,2.343186733958183
2019-07-28,1.8745493871665464
2019-08-04,2.343186733958183
2019-08-11,2.343186733958183
2019-08-18,2.343186733958183
2019-08-25,1.8745493871665464
2019-09-01,1.8745493871665464
2019-09-08,1.8745493871665464
2019-09-15,2.81182408074982
2019-09-22,1.8745493871665464
2019-09-29,1.40591204037491
2019-10-06,1.8745493871665464
2019-10-13,1.40591204037491
2019-10-20,1.40591204037491
2019-10-27,1.40591204037491
2019-11-03,1.40591204037491
2019-11-10,1.40591204037491
2019-11-17,1.8745493871665464
2019-11-24,1.8745493871665464
2019-12-01,1.8745493871665464
2019-12-08,1.40591204037491
2019-12-15,1.8745493871665464
2019-12-22,1.40591204037491
2019-12-29,1.8745493871665464
2020-01-05,2.090843547224225
2020-01-12,3.1002162941600577
2020-01-19,2.090843547224225
2020-01-26,3.1002162941600577
2020-02-02,4.10958904109589
2020-02-09,6.128334534967555
2020-02-16,5.118961788031723
2020-02-23,4.10958904109589
2020-03-01,3.1002162941600577
2020-03-08,5.118961788031723
2020-03-15,4.10958904109589
2020-03-22,3.1002162941600577
2020-03-29,3.1002162941600577
2020-04-05,4.10958904109589
2020-04-12,4.10958904109589
2020-04-19,5.118961788031723
2020-04-26,6.128334534967555
2020-05-03,5.118961788031723
2020-05-10,5.118961788031723
2020-05-17,5.118961788031723
2020-05-24,5.118961788031723
2020-05-31,6.128334534967555
2020-06-07,5.118961788031723
2020-06-14,4.10958904109589
2020-06-21,5.118961788031723
2020-06-28,4.10958904109589
2020-07-05,5.118961788031723
